word,base_df,base_slope,disc_df,val_df,disc_ratio,val_ratio,in_dict,is_seed,is_control,disc_rank
zavala,0.003990931552242927,-0.009478705137670556,0.0073991752123658255,0.005754747867565143,1.9718169832936614,1.5629413839583512,False,False,False,133
abdalla,0.0038452238794105206,-0.001550057090575919,0.007492405548868137,0.0077118493978034644,1.968227630312581,2.0321649177180614,False,False,False,134
coloring,0.0022496803819478987,-0.030659657994157912,0.0036245680595036953,0.004324773750478009,1.966459560566462,2.4947256575882797,True,False,False,135
patel,0.006545156909977395,-0.02946122372799518,0.010599902797975909,0.011393763027834375,1.9613194042633013,2.2361622861864126,True,False,False,136
examinations,0.00235818084077457,-0.024888253527206722,0.003931983874865027,0.003688639898977956,1.9601622640330838,1.9326989822408949,False,False,False,137
dekker,0.0026291357416019477,-0.05342019376320447,0.0036263802530334672,0.0022951332742162643,1.9519152263642434,1.3746613138043315,False,False,False,138
necessitate,0.00700664235982174,0.0392291554289682,0.0176449093570634,0.020826764361986307,1.951501745583675,2.129596401514922,True,False,False,139
ilc,0.0020141578432984705,-0.050793956127174154,0.002808236304630417,0.0032691008503805286,1.9396667641355898,2.4994293369888494,False,False,False,140
compactify,0.0020880084049656753,-0.04502238157921282,0.003020156541577222,0.00046945907881696313,1.9381684901059213,0.329659625348727,False,False,False,141
sneia,0.00246858637395906,-0.034719870620975105,0.003815106167950305,0.00350383038978901,1.9367319367340057,1.9066161066337395,False,False,False,142
brunner,0.003660931973446864,-0.02768704388967952,0.005916639650503076,0.003181889311981639,1.9348246338263666,1.0997658177064424,False,False,False,143
perceive,0.0036328182241216526,-0.01763746419297584,0.006256310755543237,0.0036444241025378244,1.9313620417478654,1.1654509395729302,True,False,False,144
tobias,0.0033284644841208347,-0.057302839619076965,0.004424954266466095,0.004866771775318395,1.9294159082544535,2.3797463169301514,True,False,False,145
enumerated,0.004020384321658081,-0.058843184900905725,0.005290846004076409,0.004142206330938079,1.9291536041065325,1.6989631398519338,False,False,False,146
arrested,0.0031259709308238516,0.02944858639166189,0.007300055246891755,0.012034183039318727,1.928458871677216,2.9972442097183385,False,False,False,147
heraklion,0.0020826520033487028,-0.0475361437609191,0.002947855285192662,0.0017474310155964738,1.9278795790169816,1.2567912641427423,False,False,False,148
olive,0.0040164814034510995,-0.03346894393170934,0.006226320707776624,0.010088489976639215,1.9269288589410083,3.3383442300585116,True,False,False,149
milder,0.008622976977534537,-0.05332690085498554,0.011720932077915861,0.013550346659637108,1.9223930368109665,2.4725757126003636,True,False,False,150
mena,0.0033761657530761843,0.018093751684650855,0.007299149150126868,0.00792844420070609,1.9220796052804763,2.0135901286489966,False,False,False,151
kashyap,0.0020452295550496416,-0.047656516932243376,0.002879178415867647,0.003068398694334743,1.9189195747887877,2.2495409798633985,False,False,False,152
estrada,0.002156098661694854,-0.0012109203789876471,0.00409932766128167,0.003128507137631714,1.9162948273908171,1.4660157511459628,False,False,False,153
cracks,0.00216189017517788,-0.0483385059630755,0.0030187973964298925,0.0023721563995377183,1.9118586949809604,1.6548225710141524,False,False,False,154
utilized,0.04995113194985947,0.050022605771744305,0.13167804724203364,0.13565830492426892,1.9044015328448696,1.7751802105667083,False,False,False,155
resampled,0.012415960675945902,-0.042879435299126085,0.01788727269015926,0.028698364244212085,1.9037449456325457,3.3278702338986808,False,False,False,156
keldysh,0.0021479442339423895,0.0022065855552389226,0.004144357160194274,0.003375667179766647,1.9019766128831408,1.542378639651008,False,False,False,157
hypothetically,0.0024537118423639493,-0.032939907443662084,0.003766452281978156,0.002737291238617578,1.9014961083837802,1.476030116194062,True,False,False,158
tong,0.005616996086922966,0.020565288315196235,0.012206200647015398,0.014710541818785422,1.901176074825757,2.1989113560201305,True,False,False,159
gti,0.002492449417037609,0.00123042116021377,0.004771509951768272,0.005462151974508705,1.8991361794938348,2.1686792423803416,False,False,False,160
amara,0.0026300036520651234,-0.016664145010973155,0.004473608152438245,0.003625267330864326,1.8955840251126486,1.5881789252666185,True,False,False,161
progressing,0.004765090660538817,-0.05502727697165601,0.00631592665721939,0.007164147139183674,1.8954100894243968,2.400085384669356,False,False,False,162
situated,0.03217973653325354,-0.01965018956988894,0.053669155699122235,0.04865792537873398,1.895016854487571,1.7869394616119592,True,False,False,163
nonspherical,0.002105224520455096,-0.057745323138610395,0.002740465532070288,0.0022951332742162643,1.8946806209809426,1.781051709869672,True,False,False,164
ssb,0.00396176847155517,-0.047557077850570326,0.0055063906280827584,0.004647934882766753,1.893335042552659,1.7576323753915613,False,False,False,165
unmodelled,0.002902688379410962,-0.02164248005889822,0.0047737751936804875,0.0068896859826330925,1.8930252722739478,2.852937752470041,True,False,False,166
sokendai,0.0032940662462403645,-0.03694902189000796,0.004885669368388334,0.0037817536904699808,1.8858001260932042,1.5716590554698957,False,False,False,167
seamlessly,0.002490432476058511,0.056235054852146964,0.006760696211230752,0.010263111072750724,1.8835186266465698,2.555126339663258,True,True,False,168
glorieta,0.003917880956411597,-0.0410581817937849,0.005635589495848813,0.004720671848103907,1.8784162501358708,1.7081223736205502,False,False,False,169
supersolar,0.0032617342380410115,-0.016006710940695962,0.005517805692169205,0.007172093462612095,1.877169118642636,2.519336571187963,True,False,False,170
totalling,0.002879333174379188,0.0010879550292215647,0.005430011936256211,0.0049586655123290465,1.872568267697099,1.7063051575351444,False,False,False,171
hereon,0.0020479480906417406,0.030872973524626292,0.004683716195855277,0.0024503995793405454,1.8711985574688592,0.9203442164661455,True,False,False,172
scrutinized,0.004154905106096593,-0.02082250677777932,0.006784343581643162,0.005555067746687,1.869506042504181,1.5958592991107783,False,False,False,173
encapsulates,0.007341156001671817,0.024129286802264355,0.016025926153315502,0.02758258290081763,1.866138098690136,3.060533532358116,False,False,False,174
detailing,0.004468932111017907,0.018215675990094694,0.009384372890911688,0.015187749201717076,1.8654353822221657,2.9110283529422665,False,False,False,175
decin,0.002204909370441669,-0.023346426955777176,0.0035326968681487127,0.0030241828978946114,1.864749883852288,1.672633217399035,False,False,False,176
insulation,0.0025732213358293943,-0.026022660467962568,0.0040488615817797485,0.00351177671321743,1.8634404653230983,1.7025994261304915,True,False,False,177
sander,0.0021436436129876023,0.009938403813870983,0.004259422673579224,0.005628826747191795,1.8626999096782801,2.413112941248172,True,False,False,178
readability,0.005598986321385995,0.009610774757599692,0.011046484545517045,0.014545911116437618,1.853464579616428,2.394160813504325,True,False,False,179
commences,0.00405058536386335,-0.04659562791959207,0.0055423591593465014,0.004679720176480434,1.8523042927492936,1.716761640682429,False,False,False,180
prevailing,0.011331635059833861,-0.03280028702306372,0.016937211583695495,0.01993878826973956,1.8498722059102586,2.3253511421229707,False,False,False,181
refines,0.0022601500547928238,0.03100715625099809,0.005113082104863575,0.012922159131565476,1.849332293282255,4.39273291242467,False,False,False,182
witzel,0.002196930401303065,-0.05902914042831938,0.0027672842411597997,0.001330134056648062,1.8487222407305732,0.9999663119038847,False,False,False,183
monopolar,0.002172237913667501,-0.038894793772629804,0.0031161051683741914,0.001251890876845235,1.8471466651484005,0.8021199843573588,True,False,False,184
complexities,0.013649425952611871,0.018795240200753623,0.02845319685945194,0.03804659414892787,1.844842659781961,2.375848323895614,False,False,False,185
kocevski,0.004520549726738303,0.019134389280127808,0.009422970857944721,0.010071575294614731,1.840695112547147,1.8935269717114738,False,False,False,186
sergio,0.003780701944812713,-0.05923849284476913,0.0047328231302098695,0.006363580604649547,1.8398101595689809,2.7848909159423556,True,False,False,187
pmo,0.0024021048961188896,-0.037309336184290366,0.00345994256338171,0.0028689165927703302,1.8356842144577512,1.6400363877337387,False,False,False,188
nan,0.004847580947830105,0.05617709898331827,0.01281786093906096,0.020726924301547236,1.8353012443201258,2.6523562550006194,True,False,False,189
affairs,0.0030997465380003626,-0.0495853260408416,0.004121162838164308,0.002477700693756194,1.8351379189335029,1.2183359053633986,False,False,False,190
slitless,0.0038992600957630285,0.03877898463446956,0.009169645509144855,0.014405317403688804,1.8276818434350388,2.6569775492248686,True,False,False,191
spec,0.015949347189251596,-0.032639027332666805,0.023546056508038038,0.02303020191850565,1.8252083271733945,1.905644580723677,True,False,False,192
mccomas,0.0029447570781572243,-0.04052355498391729,0.0041261463703711814,0.0031806692575002656,1.8234324182725536,1.5242698718268968,False,False,False,193
fragos,0.0026135615223006016,0.011445194112485511,0.005130750991778855,0.00455501911058846,1.822381969440245,1.5812753692772954,False,False,False,194
ruhr,0.0021594095576553812,0.009879375299002882,0.004190745804254209,0.006363778623963278,1.8199844252590305,2.7096319199300245,False,False,False,195
dev,0.003419724731682827,-0.017063014539939393,0.0055673656749062415,0.006144743712097906,1.8189720388455994,2.077307531095602,True,False,False,196
notably,0.0802743691467314,0.05083401195219731,0.2031900768898357,0.34623417025621384,1.8189700263831665,2.799878031064426,True,True,False,197
jorstad,0.0033039876338778035,-0.04739429146029696,0.004406290428260558,0.00351177671321743,1.814783078067057,1.5901740251844618,False,False,False,198
boyle,0.0030256200289542,-0.027089327400014417,0.004590938907735409,0.005141232931868977,1.8094974369636387,2.1392090649259625,False,False,False,199
furnished,0.0021958187161340093,-0.04812328681773672,0.0029055440765747157,0.0022939132197348907,1.8091679770302498,1.5726343738638209,True,False,False,200
multifield,0.0025685604393459985,-0.051177265143617576,0.0033307436956156555,0.00367845148590052,1.808508066759997,2.212566212113967,False,False,False,201
totals,0.0026707370994073906,-0.05417187754622209,0.003396249226263569,0.005145717111167008,1.8083853159299426,3.0534472473845247,False,False,False,202
normalizes,0.00378344723218012,-0.034263503593942854,0.0054736822900214865,0.007710629343322091,1.8076520301483894,2.7270052565452634,False,False,False,203
informatics,0.002924037848497205,-0.017484260144246755,0.004711441001709675,0.002790673412967503,1.8052083445176261,1.1073100089099714,False,False,False,204
disparity,0.008881644218546397,0.03401741052095577,0.01998155739859294,0.01968490195865758,1.8034650642026873,1.6598334314514394,True,False,False,205
fog,0.003123973810248478,-0.053092298119025896,0.003984262147896721,0.006636821706718756,1.801007493568162,3.3361314117786605,True,False,False,206
