marker,q,quarter,year,obs_rate,bg_rate,pi,assisted_rate,excess_ratio
delving,40,2025Q1,2025,1.1455787574349084e-06,3.337791176673222e-07,0.4830392021193057,2.0143873088987247e-06,3.432146281172411
delving,41,2025Q2,2025,9.38768024144899e-07,3.3664635629194696e-07,0.6047204670325916,1.3323488348397756e-06,2.7885881032105373
delving,42,2025Q3,2025,6.444091826467358e-07,3.3953822514924715e-07,0.736230847313499,7.536351875489626e-07,1.8978987781522383
delving,43,2025Q4,2025,3.700709866802368e-07,3.4245493581853045e-07,0.8525674304452211,3.7484656828716105e-07,1.0806414157696367
delving,44,2026Q1,2026,7.761298815659064e-07,3.4539670169661917e-07,0.9059333633046016,8.208546076711692e-07,2.2470680170177877
underscore,0,2015Q1,2015,5.315369275092596e-07,3.90002654039022e-07,0.0,,1.3629059238557806
underscore,1,2015Q2,2015,2.6126824920619086e-07,3.905696515841942e-07,0.0,,0.6689415015899407
underscore,2,2015Q3,2015,3.489955406658547e-07,3.911374734473882e-07,0.0,,0.8922580022565851
underscore,3,2015Q4,2015,5.081146760624974e-07,3.91706120827022e-07,0.0,,1.2971833960360337
underscore,4,2016Q1,2016,3.075298238029841e-07,3.922755949232564e-07,0.0,,0.7839636923198047
underscore,5,2016Q2,2016,4.2726234557457047e-07,3.9284589693799657e-07,0.0,,1.0876080134852621
underscore,6,2016Q3,2016,2.9023810263225645e-07,3.934170280748953e-07,0.0,,0.7377365033040804
underscore,7,2016Q4,2016,3.172969976445854e-07,3.9398898953935525e-07,0.0,,0.8053448346756168
underscore,8,2017Q1,2017,7.011581247859002e-07,3.9456178253853154e-07,0.0,,1.7770553454893405
underscore,9,2017Q2,2017,5.091279859507829e-07,3.9513540828133415e-07,0.0,,1.288489908219733
underscore,10,2017Q3,2017,2.9651136587367666e-07,3.957098679784308e-07,0.0,,0.7493150660823015
underscore,11,2017Q4,2017,5.382135876018348e-07,3.9628516284224926e-07,0.0,,1.3581472082922357
underscore,12,2018Q1,2018,4.5374661675178886e-07,3.9686129408697986e-07,0.0,,1.1433380465980678
underscore,13,2018Q2,2018,4.966757871623522e-07,3.974382629285783e-07,0.0,,1.2496929296704564
underscore,14,2018Q3,2018,2.7852535308857955e-07,3.9801607058476793e-07,0.0,,0.6997841888126984
underscore,15,2018Q4,2018,3.6527648160432936e-07,3.985947182750426e-07,0.0,,0.9164107421821815
underscore,16,2019Q1,2019,3.843354258219369e-07,3.9917420722066903e-07,0.0,,0.9628263020748505
underscore,17,2019Q2,2019,4.141659982592227e-07,3.997545386446894e-07,0.0,,1.0360507717145457
underscore,18,2019Q3,2019,2.5268809596487433e-07,4.003357137719241e-07,0.0,,0.6311904915603749
underscore,19,2019Q4,2019,5.709735462959983e-07,4.0091773382897415e-07,0.0,,1.4241663516425231
underscore,20,2020Q1,2020,6.930294244394706e-07,4.0150060004422385e-07,0.0066251231857163,4.440503324737372e-05,1.7260981038711671
underscore,21,2020Q2,2020,4.23806433127371e-07,4.020843136478433e-07,0.0082047179568557,3.0495999983737454e-06,1.0540237923794076
underscore,22,2020Q3,2020,6.153403298144173e-07,4.0266887587179107e-07,0.0099446543138359,2.1788173814614464e-05,1.5281546866074158
underscore,23,2020Q4,2020,6.311473185300435e-07,4.032542879498169e-07,0.0120938189286729,1.9247015049070633e-05,1.565134798042338
underscore,24,2021Q1,2021,3.801003375049115e-07,4.0384055111746413e-07,0.0134601634650189,-1.359898327258729e-06,0.941213893585324
underscore,25,2021Q2,2021,4.943688911454082e-07,4.044276666120723e-07,0.015056340729309,6.378072003595917e-06,1.2223913741776913
underscore,26,2021Q3,2021,1.6389841156871037e-07,4.0501563567277985e-07,0.0169425234059064,-1.3826466790375553e-05,0.40467181296952975
underscore,27,2021Q4,2021,5.823929194753203e-07,4.0560445954052683e-07,0.0186303001379809,9.894901927936188e-06,1.4358641917671748
underscore,28,2022Q1,2022,5.280482218916713e-07,4.061941394580573e-07,0.020437028289517,6.368611018634079e-06,1.2999897600595403
underscore,29,2022Q2,2022,6.068537552078433e-07,4.0678467666992213e-07,0.0224213957963651,9.329916865003882e-06,1.4918304203977268
underscore,30,2022Q3,2022,4.1358406029215705e-07,4.0737607242248143e-07,0.0255817135073226,6.500489437255957e-07,1.0152389604837602
underscore,31,2022Q4,2022,6.722610191525942e-07,4.0796832796390744e-07,0.0315770469630995,8.777740570996499e-06,1.647826493070483
underscore,32,2023Q1,2023,6.13425646790352e-07,4.0856144454418696e-07,0.0453715362686002,4.923819667967918e-06,1.5014281327371028
underscore,33,2023Q2,2023,8.398400750687821e-07,4.091554234151241e-07,0.0783600738841893,5.9053811198096915e-06,2.0526187043027186
underscore,34,2023Q3,2023,1.7343955349721348e-06,4.0975026583034283e-07,0.1455438832721339,9.511096467133814e-06,4.232811250182963
underscore,35,2023Q4,2023,1.6572015795735227e-06,4.103459730452897e-07,0.2014588297189642,6.599479545734068e-06,4.038547197807198
underscore,36,2024Q1,2024,2.7938057725118197e-06,4.109425463172365e-07,0.2441403906410504,1.0171159689977046e-05,6.798531321590335
underscore,37,2024Q2,2024,3.5600838801698733e-06,4.1153998690528287e-07,0.2684933101588826,1.2138252624182613e-05,8.650639047109745
underscore,38,2024Q3,2024,3.5063298018748345e-06,4.121382960703589e-07,0.3374619590875166,9.581146601987398e-06,8.507653463186651
underscore,39,2024Q4,2024,4.46422663309533e-06,4.127374750752279e-07,0.4010375087971567,1.0515256738602098e-05,10.816140773942697
underscore,40,2025Q1,2025,6.109753372986179e-06,4.13337525184489e-07,0.4830392021193057,1.2206202002454667e-05,14.781511478444045
underscore,41,2025Q2,2025,7.2419247576892205e-06,4.1393844766458e-07,0.6047204670325916,1.170508317033302e-05,17.4951730107406
underscore,42,2025Q3,2025,7.610165585542404e-06,4.145402437837796e-07,0.736230847313499,1.0188139608732164e-05,18.358086336996987
underscore,43,2025Q4,2025,6.829491845098916e-06,4.151429148122113e-07,0.8525674304452211,7.938710789011973e-06,16.45094159486792
underscore,44,2026Q1,2026,6.356873315682661e-06,4.157464620218429e-07,0.9059333633046016,6.9737639656373225e-06,15.290264371146176
underscores,0,2015Q1,2015,5.758316714683646e-07,7.008241988677451e-07,0.0,,0.8216492415625503
underscores,1,2015Q2,2015,8.708941640206362e-07,6.987424547568351e-07,0.0,,1.2463736217712869
underscores,2,2015Q3,2015,5.23493310998782e-07,6.966668943058946e-07,0.0,,0.7514255597294465
underscores,3,2015Q4,2015,9.315435727812453e-07,6.945974991468372e-07,0.0,,1.3411271620261302
underscores,4,2016Q1,2016,7.907909754933877e-07,6.925342509661423e-07,0.0,,1.1418799494612277
underscores,5,2016Q2,2016,8.117984565916839e-07,6.904771315046833e-07,0.0,,1.1757065072127992
underscores,6,2016Q3,2016,6.219387913548352e-07,6.884261225575761e-07,0.0,,0.9034212546209992
underscores,7,2016Q4,2016,8.329046188170367e-07,6.863812059740075e-07,0.0,,1.2134723555478264
underscores,8,2017Q1,2017,5.258685935894253e-07,6.843423636570839e-07,0.0,,0.7684291102178967
underscores,9,2017Q2,2017,8.909739754138701e-07,6.823095775636668e-07,0.0,,1.3058207076548514
underscores,10,2017Q3,2017,7.200990314075004e-07,6.802828297042101e-07,0.0,,1.0585288941080617
underscores,11,2017Q4,2017,5.766574152876802e-07,6.782621021426091e-07,0.0,,0.8501984903270242
underscores,12,2018Q1,2018,8.24993848639616e-07,6.762473769960316e-07,0.0,,1.2199586670551437
underscores,13,2018Q2,2018,4.5846995738063274e-07,6.742386364347706e-07,0.0,,0.6799817343677064
underscores,14,2018Q3,2018,4.3768269771062504e-07,6.722358626820753e-07,0.0,,0.6510850164470042
underscores,15,2018Q4,2018,3.6527648160432936e-07,6.702390380140033e-07,0.0,,0.5449943391639591
underscores,16,2019Q1,2019,8.455379368082611e-07,6.682481447592599e-07,0.0,,1.2653053262315765
underscores,17,2019Q2,2019,8.659834509056474e-07,6.662631652990378e-07,0.0,,1.2997618598905576
underscores,18,2019Q3,2019,9.02457485588837e-07,6.642840820668698e-07,0.0,,1.358541488426019
underscores,19,2019Q4,2019,7.494027795134977e-07,6.623108775484641e-07,0.0,,1.1314970128339177
underscores,20,2020Q1,2020,8.56095171366405e-07,6.60343534281558e-07,0.0066251231857163,3.020721105621467e-05,1.2964390910525403
underscores,21,2020Q2,2020,6.194094022630807e-07,6.583820348557547e-07,0.0082047179568557,-4.0916450590200645e-06,0.9408054434516693
underscores,22,2020Q3,2020,7.384083957773008e-07,6.564263619123772e-07,0.0099446543138359,8.900255788025544e-06,1.124891440413947
underscores,23,2020Q4,2020,6.010926843143271e-07,6.544764981443108e-07,0.0120938189286729,-3.759663827986878e-06,0.9184328024285867
underscores,24,2021Q1,2021,7.947552511466331e-07,6.525324262958472e-07,0.0134601634650189,1.1218735817540187e-05,1.217955183711138
underscores,25,2021Q2,2021,4.2845303899268716e-07,6.50594129162539e-07,0.015056340729309,-1.4103395180964274e-05,0.6585565712746326
underscores,26,2021Q3,2021,6.228139639610994e-07,6.48661589591039e-07,0.0169425234059064,-8.769450163841235e-07,0.9601523721387053
underscores,27,2021Q4,2021,8.889155086728575e-07,6.467347904789571e-07,0.0186303001379809,1.3646027147566409e-05,1.3744668166290341
underscores,28,2022Q1,2022,7.260663051010482e-07,6.448137147747002e-07,0.020437028289517,4.620567389687692e-06,1.1260094015753648
underscores,29,2022Q2,2022,7.346124405147576e-07,6.428983454773287e-07,0.0224213957963651,4.7333704940621826e-06,1.1426572267336208
underscores,30,2022Q3,2022,8.271681205843141e-07,6.409886656364034e-07,0.0255817135073226,7.91882229842328e-06,1.2904567037282368
underscores,31,2022Q4,2022,7.333756572573754e-07,6.390846583518313e-07,0.0315770469630995,3.625145990044161e-06,1.1475407016477537
underscores,32,2023Q1,2023,1.0977090521511563e-06,6.371863067737245e-07,0.0453715362686002,1.0787222722801828e-05,1.72274425938185
underscores,33,2023Q2,2023,1.1951570299055745e-06,6.352935941022418e-07,0.0783600738841893,7.780047396029121e-06,1.88126724557092
underscores,34,2023Q3,2023,2.818392744329719e-06,6.334065035874482e-07,0.1455438832721339,1.5645966232097947e-05,4.449579738078284
underscores,35,2023Q4,2023,4.083818178234752e-06,6.315250185291628e-07,0.2014588297189642,1.776799485964534e-05,6.466597614368571
underscores,36,2024Q1,2024,5.308230967772457e-06,6.296491222768082e-07,0.2441403906410504,1.979313875711718e-05,8.430458774528136
underscores,37,2024Q2,2024,7.809216253275852e-06,6.277787982292707e-07,0.2684933101588826,2.737495343284836e-05,12.439439298209388
underscores,38,2024Q3,2024,7.636667449846038e-06,6.259140298347442e-07,0.3374619590875166,2.140085837902327e-05,12.200824851077863
underscores,39,2024Q4,2024,7.211443022692457e-06,6.240548005905932e-07,0.4010375087971567,1.7049920405679768e-05,11.555784869962844
underscores,40,2025Q1,2025,9.846522177000047e-06,6.222010940431974e-07,0.4830392021193057,1.97186244122453e-05,15.825305148557701
underscores,41,2025Q2,2025,1.0862887136533832e-05,6.20352893787814e-07,0.6047204670325916,1.755798738961842e-05,17.510818834431653
