word,base_df,base_slope,disc_df,val_df,disc_ratio,val_ratio,in_dict,is_seed,is_control,disc_rank,n_docs,topic_entropy,top_share
hannah,0.003024664775009,-0.0080417669526969,0.0058270337010603,0.0074714156246155,2.0298853015898395,2.6449158263185133,False,False,False,105,386,0.9276329970162642,0.22216378996034852
stsci,0.0153361154203224,-0.0510365989013754,0.0222667444093303,0.0241254084164315,2.023081095927585,2.4275102293126944,False,False,False,106,2046,0.9151534364270683,0.2387201391945004
wcs,0.0065568214362704,-0.034251519945873,0.0106098698623896,0.0154609903037862,2.02164920870653,3.154885072229149,False,False,False,107,591,0.9042780980987815,0.2644593071743913
pagano,0.0021974217103228,-0.0362363385467874,0.0035085964493538,0.0048906107456036,2.0207476422109645,3.0284209556895565,False,False,False,108,256,0.8995829646417087,0.22391498874279242
superiore,0.0027165704089216,0.0204711046852208,0.0062686319163945,0.0036252673308643,2.02005704188703,1.1213725617442922,False,False,False,109,322,0.8135910838347514,0.3392895891352043
csc,0.0033996721740969,-0.023295265983071,0.0059020532477395,0.0044348022239945,2.019884880145376,1.5901268193816145,False,False,False,110,522,0.936123124500156,0.20806573874458537
brammer,0.007271657396242,-0.0327748100341141,0.0118691589777445,0.0137386183129564,2.0197936960644887,2.496306812245818,False,False,False,111,643,0.6549898131360888,0.5375667187647015
navy,0.0032896492639427,-0.0338333335053069,0.005331798067547,0.0089284928368046,2.019448077645389,3.618465307621859,True,False,False,112,364,0.9869399704742705,0.1643280623897375
vries,0.0040614065737782,-0.0570424231766451,0.0056591480117358,0.0063307732757682,2.018833245324522,2.5313521985848944,False,False,False,113,304,0.9346588557689313,0.22603447686206943
deblend,0.0033055264687277,-0.0518805832880233,0.0047564705006222,0.0052319066143982,2.0160374730697312,2.460008899876189,False,False,False,114,223,0.7666418174779909,0.36242330728760935
uncalibrated,0.0054932740180481,-1.4546871659860569e-05,0.0110665075288699,0.0138871583491336,2.0147463847425597,2.528342029671711,False,False,False,115,624,0.9317434559491192,0.2583443355616621
harten,0.0030515088950557,-0.042731224138904,0.0046550852932359,0.0055766646273232,2.01390777726662,2.627860659829317,False,False,False,116,265,0.6544146117473905,0.573265313503735
xin,0.0048386368677867,0.0060866182983487,0.0101305797767872,0.017012203342635,2.012469327400283,3.338633636781918,False,False,False,117,738,0.9671927144621842,0.19398498582119145
rigby,0.0032477770979358,0.03608895615379,0.0082591773210043,0.0062763690662506,2.011289336101616,1.4220005516780354,False,False,False,118,407,0.8496479177126662,0.33224020836443063
deciphering,0.002140261508341,0.0198648238121624,0.0048838571748585,0.0049042613028114,2.0054850181880144,1.935422127993229,False,False,False,119,318,0.9679465809360613,0.18749420637030878
uncovering,0.0060181094890523,0.0037029767475512,0.0123631243206358,0.022787328036355,2.005464443027525,3.6691356608829993,False,False,False,120,1072,0.9808487289366116,0.19610319883133623
dormant,0.0038475010299079,-0.0530737886583653,0.0054550184518159,0.0069679291624359,2.001890078810279,2.8434594371673496,True,False,False,121,298,0.9497642289586947,0.21234150305375202
finkelstein,0.0124055633383148,-0.0176115733903534,0.0221415341224808,0.0135254856541842,2.0012768773072147,1.266337755308504,False,False,False,122,852,0.7457052301217172,0.46129326283865274
maiolino,0.0102280584720613,0.0019385579586888,0.0206932437528774,0.0221695269406745,1.9978505092645529,2.1320973543749044,False,False,False,123,1191,0.6397163553670698,0.6196609652475825
necessitated,0.0036531962164305,-0.0377705615569588,0.0057078907522333,0.0072287397617786,1.9972190740428049,2.727845292070461,False,False,False,124,315,0.9704201447386639,0.2016301102420151
mast,0.0149167785117474,0.0169574694843016,0.0332481764725818,0.0430708743190195,1.9962885209182155,2.4998278116910027,True,False,False,125,2478,0.8926044293862752,0.22699236445840268
libeskind,0.0028450052008513,-0.0443132909792287,0.0042567043832845,0.0023472953940848,1.9956438650727728,1.2024508475113835,False,False,False,126,220,0.6688911583548954,0.3599888967437756
quasiperiodic,0.0026879453349328,-0.0278862088688777,0.0044681715718489,0.0052932351121766,1.9926443037346333,2.495989642807792,False,False,False,127,298,0.8701419296518533,0.31282503024540764
initiates,0.0055057185319972,-0.0042101549450726,0.0106563473609749,0.012851862275191,1.9892037497640795,2.4193230190350072,False,False,False,128,613,0.9636645356508625,0.23345688827713676
citation,0.0022252509314475,-0.0177145433788595,0.0039384154067446,0.0066437459949795,1.985862454970816,3.4707818707674165,True,False,False,129,410,0.9604324562377158,0.24178834942687202
gezari,0.0042661013027298,-0.0560758131623292,0.0058774997805622,0.0056447193940486,1.9836208432114744,2.131155952423245,False,False,False,130,297,0.7804176574860192,0.41570523359628847
pha,0.0022985336058012,-0.0152728801205425,0.0041247872252238,0.0043066390139721,1.9818223507133084,2.1333764509489064,False,False,False,131,190,0.7715438817504017,0.4189475173546954
guan,0.0020330429130852,-0.0409289228040481,0.00308656816899,0.0031806692575002,1.9809255883349484,2.2154462138061257,True,False,False,132,197,0.9601968492910437,0.18520692427109522
zavala,0.0039909315522429,-0.0094787051376705,0.0073991752123658,0.0057547478675651,1.9718169832936612,1.5629413839583512,False,False,False,133,428,0.723374522053299,0.45380302980037657
abdalla,0.0038452238794105,-0.0015500570905759,0.0074924055488681,0.0077118493978034,1.968227630312581,2.0321649177180614,False,False,False,134,527,0.710466179316571,0.4578500762947751
coloring,0.0022496803819478,-0.0306596579941579,0.0036245680595036,0.004324773750478,1.966459560566462,2.49472565758828,True,False,False,135,196,0.9602989873566222,0.22730890027196055
patel,0.0065451569099773,-0.0294612237279951,0.0105999027979759,0.0113937630278343,1.961319404263301,2.236162286186413,True,False,False,136,642,0.9655279634658854,0.21643399790943882
examinations,0.0023581808407745,-0.0248882535272067,0.003931983874865,0.0036886398989779,1.960162264033084,1.9326989822408949,False,False,False,137,186,0.9534206965932525,0.2087154279256472
dekker,0.0026291357416019,-0.0534201937632044,0.0036263802530334,0.0022951332742162,1.9519152263642436,1.3746613138043315,False,False,False,138,197,0.9256821374329958,0.2750933916999544
necessitate,0.0070066423598217,0.0392291554289682,0.0176449093570634,0.0208267643619863,1.951501745583675,2.129596401514922,True,False,False,139,1039,0.9686799634607753,0.17780242158032153
ilc,0.0020141578432984,-0.0507939561271741,0.0028082363046304,0.0032691008503805,1.9396667641355896,2.4994293369888494,False,False,False,140,157,0.49868460006722704,0.5343702647715881
compactify,0.0020880084049656,-0.0450223815792128,0.0030201565415772,0.0004694590788169,1.9381684901059213,0.329659625348727,False,False,False,141,94,0.6686439938984177,0.47542794382583686
